year,exporter_country_code,importer_country_code,hs_product_code,hs_chapter,hs_description,trade_value_1000usd,trade_value_usd,quantity_metric_tons
1995,40,699,854220,8542,Electronic Integrated Circuits (ICs / Chips),1.816,1816.0,
1995,58,699,854220,8542,Electronic Integrated Circuits (ICs / Chips),1.531,1531.0,
1995,156,699,854220,8542,Electronic Integrated Circuits (ICs / Chips),55.986,55986.0,0.446
1995,246,699,854220,8542,Electronic Integrated Circuits (ICs / Chips),12.196,12196.0,0.016
1995,251,699,854220,8542,Electronic Integrated Circuits (ICs / Chips),89.913,89913.0,3.157
1995,276,699,854220,8542,Electronic Integrated Circuits (ICs / Chips),468.411,468411.0,0.723
1995,344,699,854220,8542,Electronic Integrated Circuits (ICs / Chips),495.082,495082.0,5.694
1995,372,699,854220,8542,Electronic Integrated Circuits (ICs / Chips),3.861,3861.0,0.001
1995,380,699,854220,8542,Electronic Integrated Circuits (ICs / Chips),4.058,4058.0,0.025
1995,392,699,854220,8542,Electronic Integrated Circuits (ICs / Chips),3425.79,3425790.0,9.919
1995,408,699,854220,8542,Electronic Integrated Circuits (ICs / Chips),48.595,48595.0,0.046
1995,410,699,854220,8542,Electronic Integrated Circuits (ICs / Chips),77.617,77617.0,0.445
1995,458,699,854220,8542,Electronic Integrated Circuits (ICs / Chips),61.878,61878.0,0.353
1995,490,699,854220,8542,Electronic Integrated Circuits (ICs / Chips),904.984,904984.0,4.616
1995,528,699,854220,8542,Electronic Integrated Circuits (ICs / Chips),19.54,19540.0,0.396
1995,608,699,854220,8542,Electronic Integrated Circuits (ICs / Chips),9.217,9217.0,0.055
1995,702,699,854220,8542,Electronic Integrated Circuits (ICs / Chips),2112.904,2112904.0,13.469
1995,724,699,854220,8542,Electronic Integrated Circuits (ICs / Chips),71.741,71741.0,0.002
1995,752,699,854220,8542,Electronic Integrated Circuits (ICs / Chips),16.086,16085.999999999998,0.006
1995,757,699,854220,8542,Electronic Integrated Circuits (ICs / Chips),96.017,96017.0,0.094
1995,764,699,854220,8542,Electronic Integrated Circuits (ICs / Chips),16.695,16695.0,0.294
1995,784,699,854220,8542,Electronic Integrated Circuits (ICs / Chips),5527.398,5527398.0,3.219
1995,826,699,854220,8542,Electronic Integrated Circuits (ICs / Chips),1435.017,1435017.0,0.191
1995,842,699,854220,8542,Electronic Integrated Circuits (ICs / Chips),5155.36,5155360.0,3.323
1995,36,699,854280,8542,Electronic Integrated Circuits (ICs / Chips),86.307,86307.0,6.774
1995,40,699,854280,8542,Electronic Integrated Circuits (ICs / Chips),15.118,15118.0,3.423
1995,58,699,854280,8542,Electronic Integrated Circuits (ICs / Chips),29.72,29720.0,0.485
1995,124,699,854280,8542,Electronic Integrated Circuits (ICs / Chips),80.093,80093.0,4.79
1995,156,699,854280,8542,Electronic Integrated Circuits (ICs / Chips),897.698,897698.0,295.814
1995,208,699,854280,8542,Electronic Integrated Circuits (ICs / Chips),27.21,27210.0,1.208
1995,246,699,854280,8542,Electronic Integrated Circuits (ICs / Chips),3.164,3164.0,0.042
1995,251,699,854280,8542,Electronic Integrated Circuits (ICs / Chips),465.288,465288.0,1.312
1995,276,699,854280,8542,Electronic Integrated Circuits (ICs / Chips),1023.491,1023491.0,40.285
1995,344,699,854280,8542,Electronic Integrated Circuits (ICs / Chips),2292.76,2292760.0,1048.126
1995,348,699,854280,8542,Electronic Integrated Circuits (ICs / Chips),1.229,1229.0,0.333
1995,372,699,854280,8542,Electronic Integrated Circuits (ICs / Chips),5.543,5543.0,0.053
1995,376,699,854280,8542,Electronic Integrated Circuits (ICs / Chips),22.227,22227.0,0.65
1995,380,699,854280,8542,Electronic Integrated Circuits (ICs / Chips),107.151,107151.0,7.536
1995,392,699,854280,8542,Electronic Integrated Circuits (ICs / Chips),6145.056,6145056.0,879.221
1995,408,699,854280,8542,Electronic Integrated Circuits (ICs / Chips),162.569,162569.0,7.316
1995,410,699,854280,8542,Electronic Integrated Circuits (ICs / Chips),3408.709,3408709.0,140.188
1995,458,699,854280,8542,Electronic Integrated Circuits (ICs / Chips),940.12,940120.0,751.135
