year,importer_country,importer_baci_code,import_value_usd_billions,real_value_2015usd_billions,total_import_value_usd,real_import_value_2015usd,hs8542_import_usd,hs8542_share_pct,hs3818_import_usd,hs3818_share_pct,total_quantity_mt,yoy_nominal_growth_pct,yoy_real_growth_pct,num_exporting_countries,num_hs6_products,num_transactions,top_exporter_name,top3_supplier_share_pct,china_import_usd,china_share_pct,supplier_hhi,gdp_deflator_2015_100,dummy_post_2018_inflection,dummy_covid_shock_2020,dummy_global_chip_shortage_2021,dummy_pli_scheme_launch,dummy_micron_mou_2023,dummy_tata_fab_groundbreaking,dummy_india_semicon_mission,dgft_monthly_available,hs8486_equip_import_usd_placeholder,domestic_production_volume_placeholder,data_source,deflator_source
2012,India,699,2.7209,2.4107,2720947788.0,2410691759,2671627540.0,98.19,49320248.0,1.81,9726.25,6.3,-4.66,99,5,254,China,45.13,501037247.0,18.41,0.055999,112.87,0,0,0,0,0,0,0,1,,,CEPII BACI HS92 V202601,World Bank WDI — GDP deflator 2015=100 (approx)
2013,India,699,1.9972,1.6325,1997229532.0,1632523731,1944115228.0,97.34,53114304.0,2.66,3124.449,-26.6,-32.28,88,6,210,China,51.71,480226200.0,24.04,0.082472,122.34,0,0,0,0,0,0,0,1,,,CEPII BACI HS92 V202601,World Bank WDI — GDP deflator 2015=100 (approx)
2014,India,699,1.7629,1.3622,1762879989.0,1362244022,1686784539.0,95.68,76095450.0,4.32,50238.154,-11.73,-16.56,93,5,219,China,52.5,482657801.0,27.38,0.089174,129.41,0,0,0,0,0,0,0,1,,,CEPII BACI HS92 V202601,World Bank WDI — GDP deflator 2015=100 (approx)
2015,India,699,1.7384,1.7384,1738443047.0,1738443047,1653073516.0,95.09,85369531.0,4.91,2608.504,-1.39,27.62,82,5,203,China,60.28,568837449.0,32.72,0.116912,100.0,0,0,0,0,0,0,0,1,,,CEPII BACI HS92 V202601,World Bank WDI — GDP deflator 2015=100 (approx)
2016,India,699,1.8924,1.8228,1892439589.0,1822808312,1764128818.0,93.22,128310771.0,6.78,2820.6,8.86,4.85,88,5,207,China,64.18,634173542.0,33.51,0.119821,103.82,0,0,0,0,0,0,0,1,,,CEPII BACI HS92 V202601,World Bank WDI — GDP deflator 2015=100 (approx)
2017,India,699,2.8829,2.6716,2882869893.0,2671550267,2681852555.0,93.03,201017338.0,6.97,7994.902,52.34,46.56,92,4,174,China,67.09,797960812.0,27.68,0.117857,107.91,0,0,0,0,0,0,0,1,,,CEPII BACI HS92 V202601,World Bank WDI — GDP deflator 2015=100 (approx)
2018,India,699,7.5613,6.7009,7561322254.0,6700923657,7420519839.0,98.14,140802415.0,1.86,8728.92,162.28,150.83,86,4,162,China,79.29,2510775250.0,33.21,0.210097,112.84,1,0,0,0,0,0,0,1,,,CEPII BACI HS92 V202601,World Bank WDI — GDP deflator 2015=100 (approx)
2019,India,699,10.3379,8.7885,10337930700.0,8788515430,10199395093.0,98.66,138535607.0,1.34,17898.286,36.72,31.15,83,4,154,China,84.09,3671473289.0,35.51,0.21938,117.63,1,0,0,0,0,0,0,1,,,CEPII BACI HS92 V202601,World Bank WDI — GDP deflator 2015=100 (approx)
2020,India,699,8.5111,7.0684,8511051246.0,7068392364,8421260786.0,98.95,89790460.0,1.05,8666.479,-17.67,-19.57,74,4,150,China,76.19,2934193992.0,34.48,0.187958,120.41,1,1,0,0,0,0,0,1,,,CEPII BACI HS92 V202601,World Bank WDI — GDP deflator 2015=100 (approx)
2021,India,699,12.5855,9.8664,12585544693.0,9866372447,12445158009.0,98.88,140386684.0,1.12,16254.79,47.87,39.58,87,4,160,China,74.47,4492384727.0,35.69,0.224929,127.56,1,0,1,1,0,0,1,1,,,CEPII BACI HS92 V202601,World Bank WDI — GDP deflator 2015=100 (approx)
2022,India,699,16.5144,11.8095,16514425911.0,11809515097,16333377398.0,98.9,181048513.0,1.1,17023.232,31.22,19.69,97,3,181,China,69.28,5210636956.0,31.55,0.183271,139.84,1,0,0,1,0,0,1,1,,,CEPII BACI HS92 V202601,World Bank WDI — GDP deflator 2015=100 (approx)
2023,India,699,19.0075,12.7337,19007528075.0,12733655842,18675897015.0,98.26,331631060.0,1.74,34599.654,15.1,7.83,99,3,188,China,85.34,10159137117.0,53.45,0.320541,149.27,1,0,0,1,1,1,1,1,,,CEPII BACI HS92 V202601,World Bank WDI — GDP deflator 2015=100 (approx)
2024,India,699,23.0498,14.5977,23049805640.0,14597723648,22861370035.0,99.18,188435605.0,0.82,39303.901,21.27,14.64,94,3,184,China,86.56,10564552609.0,45.83,0.290867,157.9,1,0,0,1,1,1,1,1,,,CEPII BACI HS92 V202601,World Bank WDI — GDP deflator 2015=100 (approx)
